# Scenario generation method from a paper by Hoyland, Kaut & Wallace
# Code by Michal Kaut (michal.kaut@iot.ntnu.n) & Diego Mathieu

#   prob   var  1   var  2   var  3   var  4   var  5   var  6   var  7   var  8   var  9   var 10
0.010000 -2.17358  0.82754  0.56154  0.06518 -0.74483  0.38433 -1.06334 -0.23045 -0.56757 -0.05202
0.010000 -0.39509 -0.09125 -1.39033 -0.07736 -0.25398 -0.66296  0.29565 -0.19510 -1.08290 -0.17149
0.010000  0.89050  0.57297 -1.70961 -0.94938  2.14420 -0.40088 -0.23208 -0.97886  0.59468 -0.30716
0.010000 -1.00887  1.08385  0.15070  0.26309  0.38763  0.26883  1.00554 -0.58398  2.01088  0.03340
0.010000 -2.67190 -0.32006 -0.05467  0.47910  0.46551 -0.41788  0.13139  1.09936  0.04694  0.64485
0.010000 -0.26345  1.04768 -0.65706 -1.58049  0.55251  0.95066  0.12498  0.90896  1.03198  0.64439
0.010000 -0.18690  1.19060  1.46016 -0.22547  0.89753  0.64823  0.81637 -0.48989 -1.17048 -0.60064
0.010000  0.18690 -1.14058  0.27974  0.60326 -0.02787 -0.02839 -1.49831 -1.62363  1.99475  0.72172
0.010000  0.08668  0.81825  0.56015 -0.18887  0.79897  2.65074 -1.26094 -1.88137  1.40052 -0.21149
0.010000 -0.16168  0.62036 -0.82917  1.35093 -1.48676  1.35508  0.48965 -1.07173 -0.91780  0.47692
0.010000 -0.08668  0.16035 -0.25023 -0.60343 -0.02916 -0.22595 -1.84508  0.23473 -1.98387 -0.25994
0.010000  0.85377 -0.25324 -0.56198  0.96341 -1.88378  0.51140  0.11124  0.03874  0.91685 -0.70917
0.010000  0.16168 -0.81543  0.93535 -0.26842 -0.40234  1.36410  0.22065  1.30911 -0.59267  1.15622
0.010000  0.44969 -0.00721  0.43978  0.36135  0.98793 -2.77194  0.71541 -0.77468  1.46087  1.79347
0.010000  0.53432  0.06787  0.24547  0.00855 -0.82465  0.25937  0.38622 -0.12671  0.11479  0.88226
0.010000  1.68941  0.90922  0.87785 -0.27449  0.14796 -0.94124 -1.46052  1.70113 -0.40207 -2.06984
0.010000 -1.50735  0.63539 -2.11112  0.61040 -0.81868 -0.29608 -1.27515 -0.00142  0.96917 -0.51625
0.010000 -0.01235 -0.18687  0.72588  0.33942 -2.15288  1.63353  1.27481  0.46219  0.55022 -0.55257
0.010000  0.62308 -0.58504 -0.97805  0.42422 -0.10171 -2.13485 -0.21430  0.21596 -0.80840  0.30087
0.010000 -0.59297  2.16923 -1.26179 -0.80557 -0.32983 -0.04468 -0.61010 -0.27246 -0.69342 -0.65783
0.010000 -0.62308 -0.06910 -0.01868 -0.34943 -0.58752  0.17485  0.18485  1.53894  0.98471  0.65579
0.010000  0.56340 -0.23097 -0.87010  2.60217  0.47159  1.42196 -0.07276 -0.33023 -0.20229  1.09718
0.010000 -1.19358 -0.17542  0.70518  1.17307  2.05218  2.19814 -1.55891  0.25025 -0.09880 -1.07486
0.010000 -0.13658  0.08487  0.55453 -1.08599 -0.56166 -0.35941 -0.03782 -0.89316 -0.22035 -0.33444
0.010000 -1.95712 -0.64512  0.86013  0.12577  0.11497 -1.22999 -0.09921 -0.83902  1.48953  0.60330
0.010000  0.65378 -1.49920  0.61178  0.42309 -1.17563 -0.35339 -1.81755 -0.55361 -0.05756 -0.64743
0.010000  0.23777 -0.33855 -2.23630  1.02520 -0.62377 -0.06124  0.64429  1.01182  0.65280 -2.03609
0.010000  0.59297  0.93445 -1.12728 -0.16810  0.62201 -1.26460  0.00576 -0.56083  1.30473 -0.57025
0.010000  0.78361  0.22097  0.38979 -1.84485 -1.14501 -1.11041  0.64808  1.47481 -1.48958 -0.60703
0.010000 -0.85377 -2.18542 -0.63678 -1.33643 -0.42755  1.39694 -2.80768  0.35760  0.05962  0.30744
0.010000  0.81818  0.40398  0.07800  0.39944 -0.63276  1.87774  0.13126  0.87467  0.23564  2.10620
0.010000  1.05165 -0.09930 -1.63466 -0.68968  1.27580 -0.23229 -0.55474 -2.60710  0.38685 -0.81166
0.010000 -0.68512  0.25502 -0.20016 -0.48253 -1.53387 -0.58358 -0.62801  0.52012 -1.08883  1.29291
0.010000 -0.11159 -0.89089 -0.29940 -2.25117  0.73863 -1.74288  0.43645  0.31014  1.74156  0.08672
0.010000 -1.80691 -1.82825  0.72396 -0.21251  0.51610 -1.25174 -0.20389 -1.19200 -1.54693 -0.07633
0.010000 -1.30367 -0.57790  1.94491 -0.75260 -1.04076  0.01603  0.53307 -0.63980  0.20714 -2.46162
0.010000 -0.34170 -0.04110 -0.87451  0.08770 -0.02230  0.55980  1.63117  0.57691 -0.51102 -0.67109
0.010000 -1.24671  0.22284  0.22801  0.45379 -0.75175  0.28418 -0.19382  0.67216 -0.16370  0.60220
0.010000 -1.68941 -1.38423  0.65352 -0.23414 -1.16199 -1.01628 -0.41076 -0.39250 -1.33051  1.44424
0.010000  1.95712 -1.16990 -1.53772 -1.08257  1.13124 -0.90020  1.29426  0.19508 -0.00309  0.59021
0.010000  1.36528 -1.22996  0.67976 -0.06707 -0.03459  0.56168 -0.60776 -1.34634 -0.37659  2.05784
0.010000 -0.21226  1.14035  1.34104 -0.91105  0.93221 -0.47889 -1.33248 -0.12826  0.31252 -1.31032
0.010000  0.01235  0.71640  0.65728 -0.53852  0.63956 -1.18932  0.83576 -0.69402 -0.97951 -1.20807
0.010000  0.50570 -1.95200 -0.41331  0.03295 -0.59164 -0.54723  1.34549 -0.37405  1.11593 -0.35565
0.010000  1.43265 -0.83622  0.38643  2.07265  0.84829 -0.18687 -1.48026  2.76737 -0.29841  0.26256
0.010000 -0.03708  0.59172  1.83136 -1.31989  1.39994 -0.99906  1.60269 -0.37967  0.29033  0.18714
0.010000  2.67190 -0.41810 -0.31929 -0.20407  1.22961  0.71312 -0.01780  0.75891 -0.77652 -0.35213
0.010000  1.00887  0.79442  0.18571  1.11276  0.66323 -0.18261  1.43364  0.76893 -0.47526 -0.79817
0.010000  0.13658  1.50867 -1.31547  0.37044 -0.38385 -0.13383 -0.01090 -1.52425 -2.70465  0.04737
0.010000 -0.47750  0.67868 -0.08603  1.78096  1.22640  0.02244  0.71616 -0.09302  0.85915 -1.44106
0.010000  0.68512 -1.58335 -1.30102 -1.07024 -0.91819  1.27778  0.83632  0.33637 -0.66521 -1.05496
0.010000 -0.81818  1.42267  0.49320 -0.71156  0.26189 -0.34412  1.58488  0.11999  1.56781  0.64487
0.010000  0.71715  0.42991 -0.30289 -0.72736 -1.73618 -0.07678 -0.52741 -1.46002 -0.98851  2.45883
0.010000  1.24671 -0.30055  0.20999  1.41058 -0.53681 -0.62604  0.81802 -0.14493  0.06304  0.85129
0.010000 -0.28932  0.50160 -0.05684 -1.01164 -0.99786 -1.50215 -1.58674  0.58835 -0.08650  0.30002
